ID,"Investor Name","Investor Type","Investor Country","Found Domain",Website,"Search Strategy",Status
754,"Müller Milch Management","Family Office","Germany / Luxembourg",muellergroup.com,https://www.muellergroup.com,duckduckgo_search,FOUND
755,"Annie E. Casey Foundation","Non-Profit - Foundation",US,aecf.org,https://www.aecf.org,duckduckgo_search,FOUND
756,Lunate,"Sovereign Wealth Fund",UAE,economymiddleeast.com,https://www.economymiddleeast.com,duckduckgo_search,FOUND
757,Dominus,"Family Office",Brazil,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
758,LGTCP,"Family Office",Switzerland,lgtcp.com,https://www.lgtcp.com,duckduckgo_search,FOUND
759,"Höegh FO","Family Office",GB,bizprofile.net,,duckduckgo_search,FOUND
760,"Luzern PK","Foreign Pension",Switzerland,lupk.ch,https://www.lupk.ch,duckduckgo_search,FOUND
761,"Local Resources","Family Office",Switzerland,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
762,"Palmyra Holdings","Family Office",Switzerland,dnb.com,,duckduckgo_search,FOUND
763,VER,"Pension - Public",Finland,ver.fi,https://www.ver.fi,duckduckgo_search,FOUND
764,SHL,"Family Office",GB,dev.swfinstitute.org,https://dev.swfinstitute.org,duckduckgo_search,FOUND
765,SHL,"Family Office",GB,shl.com,,duckduckgo_search,FOUND
766,Cavamont,"Family Office",Cayman,cavamont.com,https://www.cavamont.com,direct_website,FOUND
767,Bluemetric,"Family Office",Netherlands,bluemetric.nl,https://www.bluemetric.nl,duckduckgo_search,FOUND
768,Tellco,Pension,Switzerland,tellco.ch,https://www.tellco.ch,direct_website,FOUND
769,SUVA,Pension,Switzerland,suva.ch,,duckduckgo_search,FOUND
770,"Morgan Stanley",,,login.morganstanleyclientserv.com,,duckduckgo_search,FOUND
771,"Sumitomo Life Insurance","Bank/Financial Institution",Japan,fsa.go.jp,https://www.fsa.go.jp,duckduckgo_search,FOUND
772,Primwest,"Family Office",CH,primwest.com,http://www.primwest.com,direct_website,FOUND
773,"SITFO (Utah School and Institutional Trust Funds Office)","Sovereign Wealth Fund",US,sitfo.utah.gov,https://sitfo.utah.gov,duckduckgo_search,FOUND
774,Schenker,"Individual (HNW)",CH,schenker.org,https://www.schenker.org,direct_website,FOUND
775,Schroders,"Bank/Financial Institution",GB,schroders.com,,duckduckgo_search,FOUND
776,"University of Oklahoma Foundation","Non-Profit - Endowment",US,home.oufoundation.org,https://home.oufoundation.org,duckduckgo_search,FOUND
777,"Asahi Life Insurance","Bank/Financial Institution",Japan,asahi-life.co.jp,https://www.asahi-life.co.jp,duckduckgo_search,FOUND
778,"ORIX Life","Bank/Financial Institution",Japan,orix.co.jp,https://www.orix.co.jp,duckduckgo_search,FOUND
779,"ORIX Life","Bank/Financial Institution",Japan,orix.co.jp,https://www.orix.co.jp,duckduckgo_search,FOUND
780,"SION Hall","Family Office",GB,find-and-update.company-information.service.gov.uk,https://find-and-update.company-information.service.gov.uk,duckduckgo_search,FOUND
781,"Aizawa Securities","Bank/Financial Institution",Japan,aizawa.co.jp,https://www.aizawa.co.jp,duckduckgo_search,FOUND
782,"Imamura Securities","Bank/Financial Institution",Japan,marketscreener.com,https://www.marketscreener.com,duckduckgo_search,FOUND
783,"Future Fund","Sovereign Wealth Fund",Australia,futurefund.gov.au,,duckduckgo_search,FOUND
784,"UJA-Federation of New York","Non-Profit - Foundation",US,ujafedny.org,https://www.ujafedny.org,duckduckgo_search,FOUND
785,Destra,"Family Office",,destramultifamily.com,,duckduckgo_search,FOUND
786,"Nicola Wealth",,Canada,nicolawealth.com,https://www.nicolawealth.com,direct_website,FOUND
787,"Kefren Capital","Family Office",ES,kefren.net,https://www.kefren.net,direct_website,FOUND
788,"Peakline Partners, LLC","Family Office",US,peakline.com,,duckduckgo_search,FOUND
789,"Arax Investment Partners","Family Office",US,,,not_found,NOT_FOUND
790,"Fort Worth",Pension,US,fortworth.com,https://www.fortworth.com,direct_website,FOUND
791,"TIBAG Family Office","Family Office",Austria,preqin.com,https://www.preqin.com,duckduckgo_search,FOUND
792,Lothian,Pension,GB,lpf.org.uk,https://www.lpf.org.uk,duckduckgo_search,FOUND
793,LGPSC,Pension,GB,gov.uk,https://www.gov.uk,duckduckgo_search,FOUND
794,"South Carolina Retirement System Investment Commission (RSIC)","Pension - Private Non-ERISA",US,rsic.sc.gov,https://www.rsic.sc.gov,duckduckgo_search,FOUND
795,Investcorp-Tages,"Fund of Funds",US,investcorptages.com,https://www.investcorptages.com,direct_website,FOUND
796,"National Railroad Trust (NRRIT)","Pension - Private Non-ERISA",US,rrb.gov,https://www.rrb.gov,duckduckgo_search,FOUND
797,Altamar,,Spain,tripadvisor.com,,duckduckgo_search,FOUND
798,ACM,"Family Office",US,acm.com,https://www.acm.com,direct_website,FOUND
799,Albourne,Consultant,,albourne.com,https://www.albourne.com,direct_website,FOUND
800,"Abu Dhabi Pension Fund","Foreign Pension","United Arab Emirates",pension.gov.ae,https://www.pension.gov.ae,duckduckgo_search,FOUND
801,"RIVA Investment","Family Office","Saudi Arabia",riva.com.sa,https://www.riva.com.sa,duckduckgo_search,FOUND
802,Piting,"Family Office",Singapore,companies.sg,,duckduckgo_search,FOUND
803,"Emirates Investment Authority (EIA)","Sovereign Wealth Fund",,eia.gov.ae,https://www.eia.gov.ae,duckduckgo_search,FOUND
804,Novartis,Corporate,,novartis.com,https://www.novartis.com,direct_website,FOUND
805,B10,"Family Office",Finland,b10.fi,https://www.b10.fi,direct_website,FOUND
806,Balentine,"Family Office",,balentine.com,https://www.balentine.com,direct_website,FOUND
807,"Golden Alpha","Family Office",Bermuda,royalgazette.com,https://www.royalgazette.com,duckduckgo_search,FOUND
808,"Copos Capital","Family Office",Luxembourg,lafo.lu,,duckduckgo_search,FOUND
809,Oldendorff,"Family Office",Germany,oldendorff.com,https://www.oldendorff.com,direct_website,FOUND
810,"BTG Pactual","Bank/Financial Institution",Brazil,ri.btgpactual.com,https://ri.btgpactual.com,duckduckgo_search,FOUND
811,AustraliaSuper,"Pension - Public","AU,GB",australiansuper.com,https://australiansuper.com,duckduckgo_search,FOUND
812,"Council (Adic)","Sovereign Wealth Fund",UAE,adic.ae,https://www.adic.ae,duckduckgo_search,FOUND
813,Bluearc,"Fund of Funds",USA,bluearccapital.com,https://www.bluearccapital.com,duckduckgo_search,FOUND
814,"Wealth Management Partners","Family Office",Netherlands,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
815,Ardys,"Family Office",Netherlands,ardys.com,,duckduckgo_search,FOUND
816,"Bedrock Group","Family Office",GB,bedrock.org,https://bedrock.org,direct_website,FOUND
