ID,"Investor Name","Investor Type","Investor Country","Found Domain",Website,"Search Strategy",Status
963,"Illinois State Board of Investment (ISBI)","Pension - Private Non-ERISA",US,isbinvestment.com,https://www.isbinvestment.com,duckduckgo_search,FOUND
964,"Duchossois Capital Management","Family Office",US,duchossois.com,https://www.duchossois.com,direct_website,FOUND
965,"The World Bank Pension Plan","Pension - Private Non-ERISA",US,worldbank.org,https://www.worldbank.org,duckduckgo_search,FOUND
966,"Trinity Church Wall Street","Non-Profit - Endowment",US,trinitychurchnyc.org,https://www.trinitychurchnyc.org,duckduckgo_search,FOUND
967,"Valida Vorsorge Management","Foreign Pension",AT,vorsorgeportal.valida.at,https://vorsorgeportal.valida.at,duckduckgo_search,FOUND
968,"Uniqa Versicherungen",Insurer,AT,uniqagroup.com,https://www.uniqagroup.com,duckduckgo_search,FOUND
969,"Haub Legacy Management GmbH","Family Office",DE,dnb.com,,duckduckgo_search,FOUND
970,"LBBW Asset Management","Bank/Financial Institution",DE,en.wikipedia.org,,duckduckgo_search,FOUND
971,"Crescendo Capital s.a.","Family Office",CH,wpsa.ch,https://wpsa.ch,duckduckgo_search,FOUND
972,"Rothesay Life",Insurer,GB,rothesay.com,https://www.rothesay.com,duckduckgo_search,FOUND
973,"Sun Life",Insurer,"US,CA,GB",sunlife.com,https://www.sunlife.com,duckduckgo_search,FOUND
974,Blackrock,"Fund of Funds",,blackrock.com,https://www.blackrock.com,duckduckgo_search,FOUND
975,Cambiata,"Family Office",CH,cambiata.com,https://www.cambiata.com,direct_website,FOUND
976,PIC,Insurer,GB,pic.com,https://www.pic.com,direct_website,FOUND
977,"National Life",Insurer,US,nationallife.com,https://www.nationallife.com,direct_website,FOUND
979,"Northwestern University","Non-Profit - Endowment",US,northwestern.edu,https://www.northwestern.edu,duckduckgo_search,FOUND
980,"ISP Vita / Eurizon",Insurer,IT,intesasanpaoloassicurazioni.com,https://www.intesasanpaoloassicurazioni.com,duckduckgo_search,FOUND
981,"Blu Family Office","Family Office",GB,blufamilyoffice.com,https://www.blufamilyoffice.com,direct_website,FOUND
982,"Grosvenor Family Office","Family Office",GB,grosvenor.com,https://www.grosvenor.com,duckduckgo_search,FOUND
985,"L&G Insurance",Insurer,GB,legalandgeneral.com,https://www.legalandgeneral.com,duckduckgo_search,FOUND
986,"University of California, Berkeley Foundation","Non-Profit - Foundation",US,ucberkeleyfoundation.org,,duckduckgo_search,FOUND
987,"Lighthouse Canton","Family Office",SG,lighthouse-canton.com,https://www.lighthouse-canton.com,duckduckgo_search,FOUND
988,"New York City Pension Funds (New York City Comptroller)","Pension - Private Non-ERISA",US,comptroller.nyc.gov,https://www.comptroller.nyc.gov,duckduckgo_search,FOUND
989,"Stonehage Fleming","Family Office","US,GB",stonehagefleming.com,https://www.stonehagefleming.com,direct_website,FOUND
990,"Tsugu AG","Family Office",CH,tsugu.com,https://www.tsugu.com,duckduckgo_search,FOUND
991,"Columbia Investment Management Company","Non-Profit - Endowment",US,finance.columbia.edu,,duckduckgo_search,FOUND
995,MetLife,Insurer,GB,metlife.com,https://www.metlife.com,direct_website,FOUND
996,Aberdeen,"Fund of Funds","US,GB",aberdeeninvestments.com,https://www.aberdeeninvestments.com,duckduckgo_search,FOUND
997,"Sanlam Investments (Sanlam Group)","Fund of Funds",ZA,sanlaminvestments.com,,duckduckgo_search,FOUND
998,"Cornell University","Non-Profit - Endowment",US,statements.cornell.edu,https://www.statements.cornell.edu,duckduckgo_search,FOUND
999,Voya,Insurer,US,voya.com,https://www.voya.com,direct_website,FOUND
1000,"Employees Retirement System of Rhode Island (ERSRI)","Domestic Pension - ERISA",US,ersri.org,https://www.ersri.org,duckduckgo_search,FOUND
1001,"Yimin (Jeff) Zhou","Individual (HNW)",US,apacjournal.squarespace.com,,duckduckgo_search,FOUND
1002,"Hawaii Employees Retirement System (Hawaii ERS)","Pension - Private Non-ERISA",US,ers.ehawaii.gov,,duckduckgo_search,FOUND
1003,"Key Family Wealth (Key Private Bank, KeyBank)","Family Office",US,key.com,,duckduckgo_search,FOUND
1004,Sansiri,"Family Office",TH,ldpuatsf.sansiri.com,https://ldpuatsf.sansiri.com,duckduckgo_search,FOUND
1005,"King Power","Family Office",TH,kingpower.com,https://www.kingpower.com,direct_website,FOUND
1006,"Stihl Family Office","Family Office",DE,corporate.stihl.com,https://www.corporate.stihl.com,duckduckgo_search,FOUND
1007,"The Police & Fire Retirement System of the City of Detroit","Pension - Private Non-ERISA",US,rscd.org,,duckduckgo_search,FOUND
1009,Callan,Consultant,US,callan.com,https://www.callan.com,direct_website,FOUND
1010,"Hawaii Employer-Union Health Benefits Trust","Pension - Private Non-ERISA",US,eutf.hawaii.gov,https://eutf.hawaii.gov,duckduckgo_search,FOUND
1013,"Texas Christian University (TCU)","Non-Profit - Endowment",US,endowment.tcu.edu,https://www.endowment.tcu.edu,duckduckgo_search,FOUND
1016,"Preserver Partners LLC","Fund of Funds",US,preserver.org,https://www.preserver.org,direct_website,FOUND
1017,"Hamilton Lane",Consultant,US,hamiltonlane.com,,duckduckgo_search,FOUND
1018,"Enstar Insurance",Insurer,US,enstargroup.com,,duckduckgo_search,FOUND
1022,Cliffwater,Consultant,US,cliffwater.com,https://www.cliffwater.com,direct_website,FOUND
1024,"LGT Crestone",Corporate,AU,lgtwm.com,https://www.lgtwm.com,duckduckgo_search,FOUND
1026,"Carl Friedrich von Siemens Stiftung","Non-Profit - Foundation",DE,siemens-stiftung.org,https://www.siemens-stiftung.org,duckduckgo_search,FOUND
1027,"City of Hartford Municipal Employees Retirement Fund","Pension - Private Non-ERISA",US,hartfordcitytreasurer.org,https://www.hartfordcitytreasurer.org,duckduckgo_search,FOUND
1029,"Heritage Holdings","Family Office",GB,heritage.org,https://heritage.org,direct_website,FOUND
1030,"Ghost Tree","Fund of Funds",US,whalewisdom.com,https://whalewisdom.com,duckduckgo_search,FOUND
1031,Barings,"Fund of Funds",US,barings.com,https://www.barings.com,direct_website,FOUND
1032,"Nomura Interval Fund","Fund of Funds",US,funds.nomuracapitalmanagement.com,https://funds.nomuracapitalmanagement.com,duckduckgo_search,FOUND
1033,"Corbin Capital","Fund of Funds",US,corbin.com,https://www.corbin.com,direct_website,FOUND
1034,"LyonRoss Capital Management","Fund of Funds",US,lyonross.com,https://www.lyonross.com,direct_website,FOUND
1035,"Tsao Family Office","Family Office",US,tsao.com,https://www.tsao.com,duckduckgo_search,FOUND
1036,"Massachusetts Mutual Life Insurance Company (MassMutual)",Insurer,US,massmutual.com,https://massmutual.com,duckduckgo_search,FOUND
1037,"Robert Wood Johnson Foundation (RWJF)","Non-Profit - Foundation",US,rwjf.org,https://www.rwjf.org,duckduckgo_search,FOUND
1038,"QP Global Family Offices, LLC","Family Office",US,qp-global.com,,duckduckgo_search,FOUND
1039,"Utah Retirement Systems (URS)","Pension - Private Non-ERISA",US,urs.org,https://www.urs.org,duckduckgo_search,FOUND
1040,"Permanent Fund Investments (Southern Utes)","Non-Profit - Foundation",US,southernute-nsn.gov,https://www.southernute-nsn.gov,duckduckgo_search,FOUND
1041,"Russell Investments","Fund of Funds","GB,US",russellinvestments.com,https://www.russellinvestments.com,duckduckgo_search,FOUND
1042,"Irish Strategic Investment Fund","Sovereign Wealth Fund",IE,isif.ie,https://www.isif.ie,duckduckgo_search,FOUND
1043,"Neuberger Berman",Corporate,"US,GB",nb.com,https://nb.com,duckduckgo_search,FOUND
1044,"Corner Banca","Bank/Financial Institution",CH,corner.ch,https://www.corner.ch,duckduckgo_search,FOUND
1045,"West Yorkshire Pension Fund LGPS","Pension - Public",GB,wypf.org.uk,https://www.wypf.org.uk,duckduckgo_search,FOUND
1046,"Public Employees Retirement System of Mississippi (PERS)","Pension - Private Non-ERISA",US,pers.ms.gov,https://www.pers.ms.gov,duckduckgo_search,FOUND
1048,Allstate,Insurer,US,allstate.com,https://www.allstate.com,direct_website,FOUND
1049,"Virginia Commonwealth University","Non-Profit - Endowment",US,vcimco.com,,duckduckgo_search,FOUND
1050,"Virginia Retirement System (VRS)","Pension - Private Non-ERISA",US,varetire.org,https://www.varetire.org,duckduckgo_search,FOUND
1051,"CRTS - EverestRe",Insurer,GB,news.ambest.com,https://news.ambest.com,duckduckgo_search,FOUND
1052,"CRTS - MSIG",Insurer,GB,ms-ins.com,https://www.ms-ins.com,duckduckgo_search,FOUND
1053,"CRTS - Canopius",Insurer,GB,canopius.com,https://www.canopius.com,duckduckgo_search,FOUND
1063,"Carnegie Foundation","Non-Profit - Foundation",US,carnegiefoundation.org,https://www.carnegiefoundation.org,direct_website,FOUND
1064,"KSU Foundation (Kansas State University)","Non-Profit - Foundation",US,ksufoundation.org,https://www.ksufoundation.org,duckduckgo_search,FOUND
1068,"Blahval Capital","Family Office",SG,blahvalcapital.com,https://www.blahvalcapital.com,duckduckgo_search,FOUND
1069,Weybourne,"Family Office","GB,SG",straitstimes.com,,duckduckgo_search,FOUND
1070,"GM Asset Management (General Motors)","Pension - Private ERISA",US,generalmotorspension.com,https://www.generalmotorspension.com,duckduckgo_search,FOUND
1072,"Newmarket Capital",Competitor,US,newmarket.com,https://www.newmarket.com,direct_website,FOUND
1073,"ArrowMark Partners",Competitor,US,arrowmark.com,https://www.arrowmark.com,direct_website,FOUND
1075,"Chorus Capital",Competitor,GB,meetjamie.ai,https://www.meetjamie.ai,duckduckgo_search,FOUND
1076,M&G,Competitor,GB,mg.com,https://www.mg.com,direct_website,FOUND
1077,"Pemberton Asset Management",Competitor,GB,rocketreach.co,https://www.rocketreach.co,duckduckgo_search,FOUND
1078,"Seer Capital",Competitor,US,marketbeat.com,,duckduckgo_search,FOUND
1080,"Stone Temple Partners","Fund of Funds",US,adviserinfo.sec.gov,https://www.adviserinfo.sec.gov,duckduckgo_search,FOUND
1081,"Volkswagen Group","Foreign Pension",DE,volkswagen.com,https://www.volkswagen.com,direct_website,FOUND
1082,"New York State Teachers Retirement System (NYSTRS)","Pension - Public",US,nystrs.org,https://nystrs.org,duckduckgo_search,FOUND
1084,"Massachusetts Pension Reserves Investment Management (MassPrim, PRIM)","Pension - Public",US,mapension.com,https://www.mapension.com,duckduckgo_search,FOUND
1085,"Swiss Re (Asset-side)",Insurer,CH,swissre.com,,duckduckgo_search,FOUND
1086,Innocap,"Managed Account Platform",CA,innocap.com,https://www.innocap.com,direct_website,FOUND
1087,"Crimson Lion","Family Office",US,crimsonlion.net,https://www.crimsonlion.net,direct_website,FOUND
1088,"Lehigh University","Non-Profit - Endowment",US,www2.lehigh.edu,https://www2.lehigh.edu,duckduckgo_search,FOUND
1090,"Chenavari Investment Managers",Competitor,GB,cbinsights.com,https://www.cbinsights.com,duckduckgo_search,FOUND
1091,"Crescent Capital",Competitor,US,crescent.org,https://www.crescent.org,direct_website,FOUND
1092,"Mizuho Securities","Bank/Financial Institution",JP,mizuhogroup.com,https://www.mizuhogroup.com,duckduckgo_search,FOUND
1093,"Savvy Wealth",Other,US,savvywealth.com,https://www.savvywealth.com,direct_website,FOUND
1094,"Jacksonville City Employees Retirement System","Non-Profit - Endowment",US,jacksonville.gov,https://www.jacksonville.gov,duckduckgo_search,FOUND
1095,"INTERA Investments","Family Office",AE,linkedin.com,https://www.linkedin.com,duckduckgo_search,FOUND
1096,"Community Capital","Fund of Funds",AU,community.com,https://www.community.com,direct_website,FOUND
1097,"Mill Trust","Family Office","AE,SG",milltrust.com,,duckduckgo_search,FOUND
1098,"Alfin Company","Family Office","PT,LU",alfin.company,https://www.alfin.company,duckduckgo_search,FOUND
1099,Willgrow,"Family Office",LT,willgrow.com,https://www.willgrow.com,direct_website,FOUND
1100,OMERS,"Foreign Pension","CA,GB",members.omers.com,https://www.members.omers.com,duckduckgo_search,FOUND
1101,"Huntington Ingalls Industries, Inc. (HII)","Pension - Private ERISA",US,hiierisasettlement.com,https://www.hiierisasettlement.com,duckduckgo_search,FOUND
1102,"Redington Consulting",Consultant,GB,reddingtonconsulting.com,https://www.reddingtonconsulting.com,duckduckgo_search,FOUND
1103,"Sompo Insurance",Insurer,"GB,BM",sompo-intl.com,,duckduckgo_search,FOUND
1104,Shamal,"Family Office",AE,shamal.com,,duckduckgo_search,FOUND
1105,"Baillie Gifford","Fund of Funds",GB,bailliegifford.com,https://www.bailliegifford.com,direct_website,FOUND
1106,"Delaware Life/Group1001",Insurer,US,delawarelife.com,https://www.delawarelife.com,duckduckgo_search,FOUND
1108,Azimut,Corporate,US,azimut.net,https://www.azimut.net,direct_website,FOUND
1109,"Bayshore Capital","Family Office",US,bayshore.com,https://www.bayshore.com,direct_website,FOUND
1110,"BJC Healthcare","Non-Profit - Foundation",US,bjchealthcare.com,,direct_website,FOUND
1111,"BluePrint Capital Advisors",Corporate,US,blueprint.com,https://www.blueprint.com,direct_website,FOUND
1113,"City of San Jose (San Jose Police and Fire Retirement Plan and the San José Federated City Employees","Pension - Public",US,sanjoseca.gov,,duckduckgo_search,FOUND
1114,"Cliffwater Interval Fund",Corporate,US,cliffwaterfunds.com,https://www.cliffwaterfunds.com,duckduckgo_search,FOUND
1115,"CM Capital",Corporate,US,cm.com,https://www.cm.com,direct_website,FOUND
1116,"Cornerstone Partners","Fund of Funds",US,cornerstone.com,https://www.cornerstone.com,direct_website,FOUND
1117,"Delta Air Lines","Pension - Private ERISA",US,planadviser.com,https://www.planadviser.com,duckduckgo_search,FOUND
1118,"DTE Energy","Pension - Private ERISA",US,dteenergy.com,https://www.dteenergy.com,direct_website,FOUND
1119,"DuPont Pension Plan","Pension - Private ERISA",US,plansponsor.com,https://www.plansponsor.com,duckduckgo_search,FOUND
1120,"EquiTrust Life Insurance Company",Insurer,US,equitrust.com,https://www.equitrust.com,duckduckgo_search,FOUND
1121,"Fiat / Chrysler","Pension - Private ERISA",US,fcaretirees.com,https://www.fcaretirees.com,duckduckgo_search,FOUND
1122,Fiera,"Fund of Funds",US,fiera.com,https://www.fiera.com,direct_website,FOUND
1123,"Franklin Park",Consultant,US,franklinpark.org,https://www.franklinpark.org,direct_website,FOUND
1124,"Hershey Trust Company","Non-Profit - Foundation",US,mshersheyfoundation.org,https://mshersheyfoundation.org,duckduckgo_search,FOUND
1125,HighVista,Corporate,US,highvista.com,https://www.highvista.com,direct_website,FOUND
1126,"ICG Advisors","Family Office",US,icgam.com,,duckduckgo_search,FOUND
1127,Investure,Corporate,US,investure.com,https://www.investure.com,direct_website,FOUND
1128,"Kansas State University","Non-Profit - Endowment",US,ksufoundation.org,https://www.ksufoundation.org,duckduckgo_search,FOUND
1129,"Lakeview Capital","Family Office",US,lakeview.com,https://www.lakeview.com,direct_website,FOUND
1130,"Lockheed Martin","Pension - Private ERISA",US,lockheedmartin.com,https://www.lockheedmartin.com,direct_website,FOUND
1131,"Maryland State Employees","Pension - Public",US,sra.maryland.gov,https://www.sra.maryland.gov,duckduckgo_search,FOUND
1132,Premia,Insurer,US,premia.com,https://www.premia.com,direct_website,FOUND
1133,Provenio,Corporate,US,provenio.com,https://www.provenio.com,direct_website,FOUND
1134,"San Bernardino County Employees Retirement Association (SBCERA)","Pension - Public",US,sbcera.org,https://www.sbcera.org,duckduckgo_search,FOUND
1135,"Wells Fargo Private Bank","Bank/Financial Institution",US,wellsfargo.com,https://www.wellsfargo.com,duckduckgo_search,FOUND
1136,"Laird Norton Wetherby",Corporate,US,lairdnorton.com,https://www.lairdnorton.com,duckduckgo_search,FOUND
1137,"Hirtle, Callaghan & Co.",Corporate,US,hirtlecallaghan.com,https://www.hirtlecallaghan.com,duckduckgo_search,FOUND
1138,"Jordan Park",Corporate,US,jordanpark.com,https://www.jordanpark.com,direct_website,FOUND
1139,"Canterbury Consulting",Consultant,US,canterburyconsulting.com,https://www.canterburyconsulting.com,direct_website,FOUND
1140,"University of Texas Investment Management Company (UTIMCO)","Non-Profit - Endowment",US,utimco.org,https://www.utimco.org,duckduckgo_search,FOUND
1141,Mirabaud,"Bank/Financial Institution",CH,mirabaud.com,,duckduckgo_search,FOUND
1142,"Pacific Life (PacLife)",Insurer,US,pacificlife.com,https://www.pacificlife.com,duckduckgo_search,FOUND
1143,"Orange County Employees Retirement System (OCERS)","Pension - Public",US,ocers.org,https://www.ocers.org,duckduckgo_search,FOUND
1144,"New Mexico State Investment Council","Non-Profit - Other",US,sic.state.nm.us,,duckduckgo_search,FOUND
1145,"Public Employees Retirement Association of New Mexico (New Mexico PERA)","Pension - Public",US,nmpera.org,,duckduckgo_search,FOUND
1146,"New Mexico Educational Retirement Board","Pension - Public",US,erb.nm.gov,http://erb.nm.gov,duckduckgo_search,FOUND
1147,"National Bank of Canada","Bank/Financial Institution",CA,nbc.ca,https://www.nbc.ca,duckduckgo_search,FOUND
1148,"Nassau RE",Insurer,KY,nsre.ky,https://www.nsre.ky,duckduckgo_search,FOUND
1149,"YieldStreet (Yield Street)",Corporate,US,cnbc.com,https://www.cnbc.com,duckduckgo_search,FOUND
1150,"Washington University in St. Louis","Non-Profit - Endowment",US,endowment.wustl.edu,http://www.endowment.wustl.edu,duckduckgo_search,FOUND
1151,"Vanderbilt University","Non-Profit - Endowment",US,vanderbilt.edu,https://www.vanderbilt.edu,duckduckgo_search,FOUND
1152,"University of Wisconsin","Non-Profit - Endowment",US,supportuw.org,,duckduckgo_search,FOUND
1153,"University of Virginia","Non-Profit - Endowment",US,endowments.virginia.edu,http://endowments.virginia.edu,duckduckgo_search,FOUND
1154,"University of Minnesota","Non-Profit - Endowment",US,give.umn.edu,https://www.give.umn.edu,duckduckgo_search,FOUND
1155,"University of Michigan","Non-Profit - Endowment",US,record.umich.edu,,duckduckgo_search,FOUND
1156,"Segal Marco",Consultant,US,segalmarco.com,https://www.segalmarco.com,direct_website,FOUND
1157,"UNC Management Company (UNCMC, University of North Carolina)","Non-Profit - Endowment",US,uncmc.unc.edu,https://www.uncmc.unc.edu,duckduckgo_search,FOUND
1158,Spruceview,Corporate,US,,,not_found,NOT_FOUND
1159,"Koch Industries Employees Pension Plan / Koch Pension / Koch Treasury","Pension - Private ERISA",US,,,not_found,NOT_FOUND
1160,Hostplus,"Foreign Pension",AU,hostplus.com.au,https://www.hostplus.com.au,duckduckgo_search,FOUND
1161,CBUS,"Foreign Pension",AU,cbussuper.com.au,https://www.cbussuper.com.au,duckduckgo_search,FOUND
1162,Frontier,Consultant,AU,frontier.com,https://www.frontier.com,direct_website,FOUND
1163,Jana,Consultant,AU,jana.com.au,https://www.jana.com.au,duckduckgo_search,FOUND
1164,"Brit Insurance",Insurer,GB,britinsurance.com,https://www.britinsurance.com,duckduckgo_search,FOUND
1165,"HVB Pension","Foreign Pension",DE,,,not_found,NOT_FOUND
1166,"Stella Vermögensverwaltungs GmbH","Family Office",DE,mandg.com,https://www.mandg.com,duckduckgo_search,FOUND
1167,"Maine Community Foundation","Non-Profit - Foundation",US,mainecf.org,https://www.mainecf.org,duckduckgo_search,FOUND
1168,"AXA Investment Managers",Competitor,FR,rocketreach.co,https://www.rocketreach.co,duckduckgo_search,FOUND
1169,"CQS Investment Management (Manulife)",Competitor,,tracxn.com,https://www.tracxn.com,duckduckgo_search,FOUND
1170,"Magnetar Capital",Competitor,,craft.co,https://www.craft.co,duckduckgo_search,FOUND
1171,"Polar Asset Management",Competitor,,marketbeat.com,,duckduckgo_search,FOUND
1172,"Cheyne Capital",Competitor,GB,owler.com,,duckduckgo_search,FOUND
1173,"Marylebone Partners","Family Office",GB,marylebone.org,https://www.marylebone.org,direct_website,FOUND
1174,"SNB Capital","Bank/Financial Institution",SA,snb.org,https://www.snb.org,direct_website,FOUND
1175,"Zurich Insurance",Insurer,CH,zurich.com,https://www.zurich.com,duckduckgo_search,FOUND
1176,"Alpinum Investment Management","Family Office",CH,alpinumim.com,https://www.alpinumim.com,duckduckgo_search,FOUND
1177,Complementa,Consultant,CH,complementa.com,https://www.complementa.com,direct_website,FOUND
1178,"Morgenroth Family Office","Family Office",,mergr.com,,duckduckgo_search,FOUND
1179,"Principal Vermögensverwaltung AG","Family Office",CH,principal.li,https://www.principal.li,duckduckgo_search,FOUND
1180,Kontora,"Family Office",DE,kontora.com,https://www.kontora.com,direct_website,FOUND
1181,"Satori Alpha","Fund of Funds",US,satoricapital.com,https://www.satoricapital.com,duckduckgo_search,FOUND
1182,"CRTS - Nationwide Financial",Insurer,GB,nationwidefinancial.com,https://www.nationwidefinancial.com,duckduckgo_search,FOUND
1183,"UBS Group AG",Competitor,CH,financialcontent.com,https://www.financialcontent.com,duckduckgo_search,FOUND
1184,"Jain Global",Competitor,US,jainglobal.com,https://www.jainglobal.com,direct_website,FOUND
1185,Santander,Competitor,ES,santander.com,https://www.santander.com,direct_website,FOUND
1186,PGGM,Competitor,NL,owler.com,,duckduckgo_search,FOUND
1187,APK,"Pension - Private Non-ERISA",AT,apk.com,https://www.apk.com,direct_website,FOUND
1188,Wilshire,Consultant,"US,CA,OE1",wilshire.com,https://www.wilshire.com,duckduckgo_search,FOUND
1189,"Roots Investments","Family Office",NL,altss.com,https://www.altss.com,duckduckgo_search,FOUND
1190,"SEAM Investments","Family Office",NL,seaminvestments.nl,https://www.seaminvestments.nl,duckduckgo_search,FOUND
1191,"Optima Asset Management","Fund of Funds",US,optima.com,https://www.optima.com,duckduckgo_search,FOUND
1192,"AB2 Capital Partners","Family Office",US,ab2.org,https://ab2.org,direct_website,FOUND
1193,"Raptor Group","Family Office",US,raptor.com,https://www.raptor.com,direct_website,FOUND
1194,"TAG Associates","Family Office",US,tagassoc.com,https://www.tagassoc.com,duckduckgo_search,FOUND
1195,"Pearl Diver Capital",Competitor,,g2.com,,duckduckgo_search,FOUND
1197,"Marquette Associates",Consultant,US,marquetteassociates.com,https://www.marquetteassociates.com,direct_website,FOUND
1198,"Tennessee Consolidated Retirement System (TCRS)","Pension - Public",US,treasury.tn.gov,https://treasury.tn.gov,duckduckgo_search,FOUND
1199,"Georgetown University Investment Office","Non-Profit - Endowment",US,investments.georgetown.edu,https://investments.georgetown.edu,duckduckgo_search,FOUND
1200,"RTX Corporation","Pension - Private ERISA",US,rtx.com,https://www.rtx.com,direct_website,FOUND
1201,"Tulane University Investment Management Office","Non-Profit - Endowment",US,endowment.tulane.edu,https://endowment.tulane.edu,duckduckgo_search,FOUND
1202,"CV Advisors","Family Office",US,cv.com,https://www.cv.com,direct_website,FOUND
1203,"Windmark Investment Partners",Corporate,US,windmarkip.com,https://www.windmarkip.com,duckduckgo_search,FOUND
1204,"Hartford Investment Management Company","Fund of Funds",US,hartfordfunds.com,,duckduckgo_search,FOUND
1205,"IAM National Pension Fund (International Association of Machinists and Aerospace Workers)","Pension - Private ERISA",US,iamnpf.org,https://www.iamnpf.org,duckduckgo_search,FOUND
1206,"Central Pension Fund of the International Union of Operating Engineers and Participating Employers","Pension - Private ERISA",US,cpfiuoe.org,https://www.cpfiuoe.org,duckduckgo_search,FOUND
1207,"CIGNA Corporation","Pension - Private ERISA",US,plansponsor.com,https://www.plansponsor.com,duckduckgo_search,FOUND
1208,"Sacramento County Employees Retirement System (SCERS)","Pension - Public",US,scers.gov,https://www.scers.gov,duckduckgo_search,FOUND
1209,"Elevation Point",Corporate,US,elevationpoint.com,https://www.elevationpoint.com,direct_website,FOUND
1210,"University of Utah Endowment","Non-Profit - Endowment",US,giving.utah.edu,https://giving.utah.edu,duckduckgo_search,FOUND
1211,"Foresters Friendly Society",Insurer,GB,forestersfriendlysociety.co.uk,https://www.forestersfriendlysociety.co.uk,duckduckgo_search,FOUND
1212,"Vermont Pension Investment Committee","Pension - Public",US,vpic.vermont.gov,,duckduckgo_search,FOUND
1214,"GS Enterprises Srl","Family Office",RO,totalfirme.ro,,duckduckgo_search,FOUND
1215,"Williams College","Non-Profit - Endowment",US,investment.williams.edu,,duckduckgo_search,FOUND
1216,"Golden Rock Capital","Family Office",IL,linkedin.com,https://www.linkedin.com,duckduckgo_search,FOUND
1217,Meitav,"Pension - Private Non-ERISA",IL,meitav.com,https://www.meitav.com,direct_website,FOUND
1218,Harel,"Pension - Private Non-ERISA",IL,harel-group.co.il,https://www.harel-group.co.il,duckduckgo_search,FOUND
1219,Altschuler,"Pension - Private Non-ERISA",IL,as-invest.co.il,https://as-invest.co.il,duckduckgo_search,FOUND
1220,"Los Angeles County Employees Retirement Association (LACERA)","Pension - Public",US,lacera.gov,https://www.lacera.gov,duckduckgo_search,FOUND
1221,"Tulare County Employees Retirement Association (TCERA)","Pension - Public",US,tcera.org,,duckduckgo_search,FOUND
1222,"Fresno County Employees Retirement Association","Pension - Public",US,fcera.gov,https://www.fcera.gov,duckduckgo_search,FOUND
1223,"North Dakota Public Employees Retirement System (NDPERS)","Pension - Public",US,ndpers.nd.gov,https://www.ndpers.nd.gov,duckduckgo_search,FOUND
1224,"Monticello Associates",Consultant,US,monticelloassociates.com,,duckduckgo_search,FOUND
1225,"Citi Pension","Pension - Private ERISA",US,citibenefits.com,https://www.citibenefits.com,duckduckgo_search,FOUND
1226,"Dock Street","Family Office",US,dockstreet.com,https://www.dockstreet.com,direct_website,FOUND
1227,"KAUST (King Abdullah University of Science and Technology)","Non-Profit - Endowment","US,SA",en.wikipedia.org,,duckduckgo_search,FOUND
1228,"SCS Financial Services","Family Office",US,scsfinancial.com,https://www.scsfinancial.com,duckduckgo_search,FOUND
1229,"Oregon State Treasury","Pension - Public",US,oregon.gov,https://www.oregon.gov,duckduckgo_search,FOUND
1230,"Nebraska Investment Council","Pension - Public",US,,,not_found,NOT_FOUND
1231,"Teachers Retirement System of Louisiana","Pension - Public",US,trsl.org,https://www.trsl.org,duckduckgo_search,FOUND
1232,"Strategic Investment Group","Fund of Funds",US,strategicinvestment.net,https://strategicinvestment.net,direct_website,FOUND
1233,"Rosherville Capital","Family Office",AU,roshervillecapital.com,https://www.roshervillecapital.com,duckduckgo_search,FOUND
1234,"Oklahoma Teachers Retirement System","Pension - Public",US,oklahoma.gov,https://www.oklahoma.gov,duckduckgo_search,FOUND
1235,"San Diego County Employment Retirement Association","Pension - Public",US,sdcera.org,https://www.sdcera.org,duckduckgo_search,FOUND
1236,"Nuclear Electric Insurance Limited",Other,US,myneil.com,https://www.myneil.com,duckduckgo_search,FOUND
1237,"Sonoma County Employees Retirement Association","Pension - Public",US,scretire.org,https://www.scretire.org,duckduckgo_search,FOUND
1238,"Thomas Jefferson University","Non-Profit - Endowment",US,thomasjeffersonuniversity.org,https://www.thomasjeffersonuniversity.org,direct_website,FOUND
1239,"Merrimac Corporation","Family Office",US,merricorp.com,https://www.merricorp.com,duckduckgo_search,FOUND
1240,"Wilmington Trust",Other,US,wilmingtontrust.com,https://www.wilmingtontrust.com,direct_website,FOUND
1241,"La Caisse","Pension - Public",CA,lacaisse.com,https://www.lacaisse.com,direct_website,FOUND
1242,"Princeton University Investment Company","Non-Profit - Endowment",US,princo.princeton.edu,https://princo.princeton.edu,duckduckgo_search,FOUND
1243,"Deutsche Betriebsrenten Holding GmbH KG","Foreign Pension",DE,dbr-holding.de,https://www.dbr-holding.de,duckduckgo_search,FOUND
1244,Variant,"Fund of Funds",US,variant.net,https://www.variant.net,direct_website,FOUND
1245,"Northwestern Mutual Life Insurance Company",Insurer,US,northwesternmutual.com,https://www.northwesternmutual.com,duckduckgo_search,FOUND
1246,"Teachers Insurance and Annuity Association of America",Insurer,US,tiaa.org,https://tiaa.org,duckduckgo_search,FOUND
1247,"New York State Common Retirement Fund","Pension - Public",US,osc.ny.gov,https://www.osc.ny.gov,duckduckgo_search,FOUND
1248,"Washington State Investment Board","Pension - Public",US,sib.wa.gov,https://www.sib.wa.gov,duckduckgo_search,FOUND
1249,"British Columbia Investment Management Corporation","Fund of Funds",CA,bci.ca,https://www.bci.ca,duckduckgo_search,FOUND
1250,"WE Family Offices","Family Office",US,wefamilyoffices.com,https://www.wefamilyoffices.com,direct_website,FOUND
